title,content,date,cleaned_content,sentiment,sentiment_label
卡尼稱下周訪美晤特朗普　討論貿易與兩國未來關係,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",2025-05-02,Ifyouclick Acceptall weandourpartners including240whoarepartoftheIABTransparency amp ConsentFramework willalsostoreand oraccessinformationonadevice inotherwords use 703chars,0.008453048817282371,负面
特斯拉新版 Model Y 在台亮相，方向燈撥桿真的回來了,© 2013-2025 TechNews Inc. All rights reserved. | | | |,2025-05-02,2013 2025TechNewsInc Allrightsreserved,0.9954473193669116,正面
《邊緣禁地 4》將於 2025 年 9 月推出：公開全新寶庫獵人、星球「凱羅星」與進化系統,"Gearbox Entertainment 4 2025 9 12 Kairos
VexRafaTrouble exo 
4
ClaptrapMoxxiZane
 ECHO-4 
Silo
6
Gearbox 2025 6 4",2025-05-02,GearboxEntertainment42025912KairosVexRafaTroubleexo4ClaptrapMoxxiZaneECHO 4Silo6Gearbox202564,0.005399909443703943,负面
Meta 罕見發表聲明：未接受中國審查，重申在台捍衛言論自由與資料保護承諾,"FBMeta
Meta Meta 
Meta 
1.Meta 
2.Meta 
3.Meta 
 Meta Meta Meta Mark Zuckerberg 
Meta Stored Communications ActMeta Meta 
Meta FacebookInstagramMessenger Threads Meta Meta Meta 
Meta Meta Me… [+84 chars]",2025-05-02,FBMetaMetaMetaMeta1 Meta2 Meta3 MetaMetaMetaMetaMarkZuckerbergMetaStoredCommunicationsActMetaMetaMetaFacebookInstagramMessengerThreadsMetaMetaMetaMetaMetaMe 84chars,0.14967759255381818,负面
消息称马斯克拒当“挂名CEO” 不愿交出特斯拉实权,SpaceXSpaceX CEO·(Gwynne Shotwell),2025-05-02,SpaceXSpaceXCEO GwynneShotwell,0.44767845850986676,中性
苹果电话会：美国设备“大多数”将来自印度、越南 关税或致Q3成本增加9亿美元,"CEOTim Cook4-6965.4AIApp Store
6iPhoneiPadMacApple WatchAirPods
iPhone250050%
Face ID12190
9
9
1-35%9505%248iPhone2%4%
TechInsightsiPhone 16 Pro300-500
AIAI
WWDC 2024Siri
Apple Intelligence… [+3177 chars]",2025-05-02,CEOTimCook4 6965.4 AIAppStore6iPhoneiPadMacAppleWatchAirPodsiPhone250050% FaceID12190991 35% 9505% 248iPhone2% 4% TechInsightsiPhone16Pro300 500AIAIWWDC2024SiriAppleIntelligence 3177chars,0.010777790757890982,负面
特斯拉Model Y成挪威最常见汽车 注册量超7万辆,"OFV20253/468378Model YElbil24Model Y7
Model YRav4Leaf3Model Y20231969
Model Y28%Model Y",2025-05-02,OFV20253 468378ModelYElbil24ModelY7ModelYRav4Leaf3ModelY20231969ModelY28% ModelY,0.5642409107226898,中性
消息称微软 Azure 平台将托管马斯克的 Grok AI 模型,"IT 5 2 The Verge 5 2 AI Azure AI Foundry Elon Musk xAI Grok AI 
ITAzure AI Foundry AI AI Build 5 19 Grok Azure 
 Grok OpenAI 
OpenAI Musk OpenAI OpenAI 
IT",2025-05-02,IT52TheVerge52AIAzureAIFoundryElonMuskxAIGrokAIITAzureAIFoundryAIAIBuild519GrokAzureGrokOpenAIOpenAIMuskOpenAIOpenAIIT,1.63568023370253e-05,负面
不滿馬斯克政治立場 特斯拉4月歐洲銷量暴跌！瑞典跌幅最驚人,"2265151005001,0001455,78622511,6098,034",2025-05-02,2265151005001 0001455 78622511 6098 034,0.5,中性
对 Pete Hegseth 的 Signal 群聊泄密调查正在不断深入,0cnBeta.COM  2025-05-02 10:49:25,2025-05-02,0cnBeta COM 2025 05 0210 49 25,0.44767845850986676,中性
裝修總部要花25億美元　馬斯克要求查核聯準會,"Elon Musk430Department of Government Efficiency, DOGEFederal Reserve  
&lt;Google&gt; 
20221120212540  
2XTwitter  
Jerome Powell2
13
 18",2025-05-02,ElonMusk430DepartmentofGovernmentEfficiency DOGEFederalReserve lt Google gt 20221120212540 2XTwitter JeromePowell213 18,0.18884371765928942,负面
組織摩擦形成的風險與機會,"UberAsana's Work Innovation Lab
LyftUber Airbnb
Brooke NeitzelEcho DotAlexaAlexaKidKraft Sparkle Mansion
GoogleGoogle GlassGlassGoogleGlass
GlassGlassGoogleGlass
SlackZoomrobotic bureaucracy
_… [+107 chars]",2025-05-02,UberAsana sWorkInnovationLabLyftUberAirbnbBrookeNeitzelEchoDotAlexaAlexaKidKraftSparkleMansionGoogleGoogleGlassGlassGoogleGlassGlassGlassGoogleGlassSlackZoomroboticbureaucracy 107chars,0.10630472388726808,负面
愛玩車／全面升級！特斯拉Model Y煥新登台,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",2025-05-02,Ifyouclick Acceptall weandourpartners including240whoarepartoftheIABTransparency amp ConsentFramework willalsostoreand oraccessinformationonadevice inotherwords use 703chars,0.008453048817282371,负面
成本低、续航长 福特称研发LMR电池取得新突破,"Ion ParkLMR
·Bill Ford
LinkedIn LMRlithium manganese rich
LMR
RomulusIon Park 
Ion Park Battery Center of Excellence135
Ion Park 
2023LMR
LRM
LMR
LRM
LRM
Morningstar·David WhistonLMR LMR … [+319 chars]",2025-05-02,IonParkLMR BillFordLinkedInLMRlithiummanganeserichLMRRomulusIonParkIonParkBatteryCenterofExcellence135IonPark2023LMRLRMLMRLRMLRMMorningstar DavidWhistonLMRLMR 319chars,0.04417975437470156,负面
特斯拉电动汽车 4 月在法国注册量同比下降 59%,"IT 5 2 PFA2025 4 59%1~4 7556 44%
ITACEA 2025 1 45%
 4 13.9 5.64%PFA Nicolas Le Bigot
 Stellantis JeepPeugeotFiat Maserati 4 12%Volkswagen 8.5%Renault 2%
IT",2025-05-02,IT52PFA2025459% 4755644% ITACEA2025145% 413.95 64% PFANicolasLeBigotStellantisJeepPeugeotFiatMaserati412% Volkswagen8.5% Renault2% IT,2.05903082584058e-05,负面
马斯克承认DOGE工作成果未达预期 暗示其行动将持续特朗普整个任期,"0  2025-05-02 09:47:46
DOGE2026742028
DOGE
Axios
DOGEDOGE
1 DOGE
DOGE16002
DOGE1%2
70-80%DOGE1
2 
DOGE
3 
SpaceX·
4 
RFK
5 
created by ceallan",2025-05-02,2025 05 0209 47 46DOGE2026742028DOGEAxiosDOGEDOGE1DOGEDOGE16002DOGE1% 270 80% DOGE12DOGE3SpaceX 4RFK5createdbyceallan,0.00039698078313954444,负面
特斯拉否認《華爾街日報》尋找新執行長報導,"·Elon Musk Robyn Denholm X Robyn Denholm ·
 X 
DOGE
 71% 2024 14 4.09 5 DOGE 2 120 
 3330 
 INSIDE INSIDE",2025-05-02,ElonMuskRobynDenholmXRobynDenholm XDOGE71% 2024144.095 DOGE21203330INSIDEINSIDE,0.03839497241692169,负面
魔術師女扮男裝遭除名30年 重獲倫敦魔術協會正名,"Sophie Lloyd30The Magic Circle
Jenny Winstanley1218Raymond
1991
Laura London
60170017005%",2025-05-02,SophieLloyd30TheMagicCircleJennyWinstanley1218Raymond1991LauraLondon60170017005%,0.27984147275311977,负面
马斯克怒怼特斯拉换帅报道；苹果库克称关税成本暂不转嫁给消费者，但未来难说；游戏科学获五四青年奖章集体,"5 1 
 CEO ·
Robyn Denholm CEO 
9 
5 2 Tim Cook 3 4~6 9 65.41 
iPhoneiPad 
IT 
 AI  
5 1 CCTV 4 30 AI
AIIT 
 
 CEO ITBEAR
 15  
 4 30 CMO 
4 CMO 
 4 
AI 148    
 AI 148 
 Luis von Ah… [+918 chars]",2025-05-02,51CEO RobynDenholmCEO952TimCook34 6965.41 iPhoneiPadITAI 51CCTV430AIAIIT CEOITBEAR15 430CMO4CMO4AI148 AI148LuisvonAh 918chars,4.5815711557928296e-08,负面
