title,content,date,cleaned_content,sentiment,sentiment_label
美国撤销加州环保新政 传统车企与能源巨头拍手称快,"4000
GDP10
GDP4.14.024.65
Smog
1970
19671975199020062013
3.18/4.85/53%
FiskerRivianLucid
2035
20228CARB2035SUV202635%202851%203068%2035100%20%
·Gavin Newsom
EPA
2035
12020218203050%
Con… [+267 chars]",2025-05-26,4000GDP10GDP4.14 024.65 Smog1970196719751990200620133.18 4.85 53% FiskerRivianLucid203520228CARB2035SUV202635% 202851% 203068% 2035100% 20% GavinNewsomEPA203512020218203050% Con 267chars,0.6484941565539252,正面
电力需求增长强劲，中国可再生能源能否跑赢用电增长？,"202464%
5G
2007
GDP
2020GDP202320247%GDP5%
20202023
202024-20262%2021
36.2%19.6%
Centre for Research on Energy and Clean AirCREA20202024941224%1.2
CREA30%
Artificial IntelligenceAI202431%51… [+254 chars]",2025-05-25,202464% 5G2007GDP2020GDP202320247% GDP5% 20202023202024 20262% 202136.2% 19.6% CentreforResearchonEnergyandCleanAirCREA20202024941224% 1.2 CREA30% ArtificialIntelligenceAI202431% 51 254chars,0.06693352236096328,负面
美国碳化硅晶圆龙头Wolfspeed即将申请破产 市值曾高达165亿美元,"WolfspeedWolfspeed
Wolfspeed
 1200
1987WolfspeedCreeNeal HunterEric HunterJohn Edmond
LED1989CreeLED90LED
1991CreeCreeLEDLEDLEDWolfspeedWolfspeed
2016CreeLEDLED2018Cree2016Wolfspeed
Model 3MOS… [+468 chars]",2025-05-25,WolfspeedWolfspeedWolfspeed 12001987WolfspeedCreeNealHunterEricHunterJohnEdmondLED1989CreeLED90LED1991CreeCreeLEDLEDLEDWolfspeedWolfspeed2016CreeLEDLED2018Cree2016WolfspeedModel3MOS 468chars,0.2033708095956024,负面
自研“大芯片”和 YU7 正式亮相，小米用一场发布会越过了两座高峰,"5 22 15 3 O1 4G T1 15S Pro Pad 7 Ultra Xiaomi Watch S4 eSIM15 
SUV YU7 Civi 5 Pro Pro Pro Pro Pro S Mini LED 
2014 2017 S1 2021 4 135 4 2500 
O1 4 3 
O1 CPU 10 2 Cortex-X925 4 Cortex-A725 2 Corte… [+1315 chars]",2025-05-24,522153O14GT115SProPad7UltraXiaomiWatchS4eSIM15SUVYU7Civi5ProProProProProSMiniLED20142017S12021413542500O143O1CPU102Cortex X9254Cortex A7252Corte 1315chars,5.5527652400577665e-06,负面
“华龙一号”再添 200 亿千瓦时，中广核防城港核电三期工程建设全面启动,"IT 5 24 
 56 120.8 200 34 
IT 6 
 12 CPR1000 2016 3000 34 2024 
 177 9%
 2025 3 4 1600 4851.2 1.3136 36 
 690 530 
IT",2025-05-23,IT52456120.820034 IT612CPR1000201630003420241779% 20253416004851.21 313636690530IT,1.827101032580991e-06,负面
【IT之家图赏】小米 YU7 Max「宝石绿」实拍：豪华高性能 SUV，专为时代精英打造，御风而行,"2025 5 22 SUV YU7 7
 SUV YU7 SUV SUV 7 
YU7 SU7 YU7 
 YU7 IT
YU7 Max
 YU7 SUV 4999 mm1996 mm1600 mm 3000 mm 3 2.1 1.25 1:3 680 mm L113
YU7 3.11 1960×1587mm 141 L 8 275 mm 
YU7 180° 
SUV 632 n… [+724 chars]",2025-05-23,2025522SUVYU77SUVYU7SUVSUV7YU7SU7YU7YU7ITYU7MaxYU7SUV4999mm1996mm1600mm3000mm32.11 251 3680mmL113YU73.111960 1587mm141L8275mmYU7180 SUV632n 724chars,0.965399870728479,正面
小米 15 周年战略新品发布会一文汇总：自研芯片玄戒 O1 / T1 上阵，YU7 首秀，旗舰手机平板登场,"5 22 15 O1 3nm 15S Pro 7 Ultra SUV YU7 
SoC  O1 YU7 SUV 
IT
19 0 1 
 5 1000 1020 2025 300 
 15  
O1 
 O1 
O1 A18 Pro / 8 / 9400 3nm 190 109mm² 2 X925 3.9GHz4 A725 3.4GHz 2 A725 1.9GHz 2 A520 … [+1772 chars]",2025-05-22,52215O13nm15SPro7UltraSUVYU7SoC O1YU7 SUVIT1901510001020202530015 O1O1O1A18Pro 94003nm190109mm 2X9253.9 GHz4A7253.4 GHz2A7251.9 GHz2A520 1772chars,1.680343577614707e-07,负面
【IT之家开箱】iQOO Neo10 Pro + 图赏：骁龙 8 至尊版、2K Q10 珠峰屏、「超级像素」配色,"IT 5 20 5 20 iQOO Neo10 Pro + 2799 2379.15 786 
iQOO Neo10 Pro + 
IT iQOO M Motorsport 
iQOO Neo10 Pro + 8 LPDDR5X Ultra UFS 4.1 331 CPU 
iQOO Neo10 Pro + iQOO7K VC Q2 Neo 2K+144FPS 
iQOO Neo10 … [+614 chars]",2025-05-20,IT520520iQOONeo10Pro 27992379.15786 iQOONeo10Pro ITiQOOMMotorsportiQOONeo10Pro 8LPDDR5XUltraUFS4.1331 CPUiQOONeo10Pro iQOO7KVCQ2Neo2K 144FPSiQOONeo10 614chars,3.0173106851605347e-05,负面
赴港上市，「宁王」剑指欧洲,"5 20 1.18 H 263 
 ATL 2011 
 37.9%
2024 
01
 230 
2018 6 25.14 / 44% 1.6 A 
 A A 
 1.18 H 263 310 7.5% 5 17 2800 120 
 IPO 23 7700 1473.68 12.5%
2024 
02
90% 
 90% Debrecen
 48 
 100 7… [+226 chars]",2025-05-20,5201.18 H263ATL201137.9% 2024012302018625.14 44% 1.6 AAA1.18 H2633107.5% 5172800120IPO2377001473.6812 5% 20240290% 90% Debrecen481007 226chars,0.0013543285976544972,负面
跨国巨头飞利浦，为何沦为了“贴牌大王”？,"1891
1927193919491963198219941997DVD2018
Philishave 7730
1996401.450053
500
2018280.7199670%423
2019
500
2024194.931996
#ASML 
ASML
1953
1970Signetics
1984ASM InternationalASML50%
ASML… [+233 chars]",2025-05-19,18911927193919491963198219941997DVD2018Philishave77301996401.4500535002018280 7199670% 42320195002024194.931996 ASMLASML19531970Signetics1984ASMInternationalASML50% ASML 233chars,0.07074231032365053,负面
